,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
431,Lying Leg Raise,Cable,No,Auxiliary,Isolated,Pull,"Attach cable ankle straps to both ankles, then attach ankle straps to cable. Lie supine on floor or mat, back far enough so cable is taut. Grasp support behind head.",Raise legs by flexing hips and knees until thighs are just past perpendicular to torso or before hips raise off of bench. Return until hips and knees are extended. Repeat.,Rectus Abdominis,"Tensor Fasciae Latae, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, ",,"Rectus Femoris, ",Hips,2,"Rectus Abdominis, Hip Flexors",
434,Standing Leg Raise,Cable,No,Auxiliary,Isolated,Pull,Attach cable ankle cuff to one ankle. Stand facing away from low pulley. Step  forward  with opposite leg so leg with cuff is pulled back. Grasp lateral bars or other prop for support.,"Raise knee by flexing hip while allowing lower leg to bend back under resistance. When thigh is just beyond horizontal, lower leg until hip and knee is extended. Repeat. Continue with opposite leg.",Rectus Abdominis,"Tensor Fasciae Latae, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, ",,"Rectus Femoris, ",Hips,2,"Hip Flexors, Quadriceps",
439,Sit-up,Body Weight,No,Basic or Auxiliary,Isolated,Pull,Sit on on the ground. Bend knees and keep feet flat on the floor. Lay back flat on the ground.,Raise body by flexing hips until torso is upright. Lower body back until hips are almost extended. Repeat.,Rectus Abdominis,"Tensor Fasciae Latae, Rectus Femoris, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, ",,,Hips,3,"Rectus Abdominis, Hip Flexors",
439,Decline Sit-up,Body Weight,No,Basic or Auxiliary,Isolated,Pull,Sit on apparatus with lower leg secured under padded bar. Hold weight in front of chest (as shown) orbehind neckor use no weight.,Lower body back until hips are almost extended. Raise body by flexing hips until torso is upright. Repeat.,Rectus Abdominis,"Tensor Fasciae Latae, Rectus Femoris, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, ",,,Hips,3,"Rectus Abdominis, Hip Flexors",
440,Hanging Leg Raise,Body Weight,No,Auxiliary,Isolated,Pull,Place weight between ankles or use no weight. Grasp and hang from high bar.,Raise legs by flexing hips and knees until hips are completely flexed or knees are well above hips. Return until hips and knees are extended. Repeat.,Rectus Abdominis,"Tensor Fasciae Latae, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, ",,"Rectus Femoris, ",Hips,4,"Rectus Abdominis, Hip Flexors",
447,Roman Chair Sit-up,Body Weight,No,Basic or Auxiliary,Isolated,Pull,Sit on apparatus with lower leg secured under padded bar. Hold weight to front of chest or behind neck or use no weight.,Lower body back until hips are almost extended. Raise body by flexing hips until torso is upright. Repeat.,Rectus Abdominis,"Tensor Fasciae Latae, Rectus Femoris, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, ",,,Hips,3,"Rectus Abdominis, Hip Flexors",
448,Seated Leg Raise,Body Weight,No,Auxiliary,Isolated,Pull,Sit on edge of bench with legs extended to floor. Place weight between ankles or use no weight. Grasp edge of bench. Lean torso back and balance bodyweight on edge of bench.,Raise legs by flexing hips and knees while pulling torso slightly forward to maintain balance. Return by extending hips and knees and lean torso back to counter balance. Repeat.,Rectus Abdominis,"Tensor Fasciae Latae, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, ",,"Rectus Femoris, ",Hips,2,"Rectus Abdominis, Hip Flexors",
449,Vertical Leg Raise,Body Weight,No,Auxiliary,Isolated,Pull,"Place weight between ankles or use no weight. Position forearms on padded parallel bars with hands on handles, and back on vertical pad.",Raise legs by flexing hips and knees until hips are completely flexed or knees are well above hips. Return until hips and knees are extended. Repeat.,Rectus Abdominis,"Tensor Fasciae Latae, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, Latissimus Dorsi, Pectoralis Minor, Pectoralis Major, Sternal, Coracobrachialis, Trapezius, Lower, ",,"Rectus Femoris, ",Hips,4,"Rectus Abdominis, Hip Flexors",
452,Leg Raises,Body Weight,No,Auxiliary,Isolated,Pull,Grasp and hang from high bar with slightly wider than shoulder width overhand grip.,Raise legs by flexing hips and knees until hips are completely flexed or knees are well above hips. Return until hips and knees are extended downward. Repeat.,Rectus Abdominis,"Tensor Fasciae Latae, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, ",,"Rectus Femoris, ",Hips,3,"Rectus Abdominis, Hip Flexors",
458,Leg Raises:  Seated Leg Raise,Body Weight,Yes,Auxiliary,Isolated,Pull,Sit on edge of bench with legs extended to floor. Place weight between ankles or use no weight. Grasp edge of bench. Lean torso back and balance body weight on edge of bench.,Raise legs by flexing hips and knees while pulling torso slightly forward to maintain balance. Return by extending hips and knees and lean torso back to counter balance. Repeat.,Rectus Abdominis,"Tensor Fasciae Latae, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, ",,"Rectus Femoris, ",Hips,2,"Rectus Abdominis, Hip Flexors",452
461,Roman Chair Sit-up,Body Weight,No,Auxiliary,Isolated,Pull,"Sit on chair or bench with lower leg secured under low over hang or heavy bar. Place hands on waist, chest, neck, or head depending upon desired difficulty.",Lower body back until hips are almost extended. Raise body by flexing hips until torso is upright. Repeat.,Rectus Abdominis,"Tensor Fasciae Latae, Rectus Femoris, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, ",,,Hips,3,"Rectus Abdominis, Hip Flexors",
463,Wheel,Body Weight,No,Auxiliary,Isolated,Pull,"With feet strapped to power wheel,kneel on floor. Place hands shoulder width apart on floor. With arms vertical and straight, support body off of floor while rollingpower wheelback until body is straight.","Bend hips and knees, pulling legs under body. Pull bent knees toward chest, allowing rear end to raise upward. Return by extending hips and knees to original position. Repeat.",Rectus Abdominis,"Tensor Fasciae Latae, Sartorius, Pectineus, Adductor Longus, Adductor Brevis, Gluteus Maximus, Adductor Magnus, ","Rectus Abdominis, Obliques, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Serratus Anterior, Pectoralis Minor, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, Quadriceps, ",,"Rectus Femoris, Hamstrings, ",Hips,3,"Rectus Abdominis, Anterior Deltoid",
439,Cable Crunches,Cable,No,Basic or Auxiliary,Isolated,Pull,"Kneel on the ground and grab cable attachment, usually rope, and place it behind or in front of your head.","Bend hips forward, pulling the cable downwards until head is near the floor. Return by extending hips to original position. Repeat.",Rectus Abdominis,"Tensor Fasciae Latae, Rectus Femoris, Pectineus, Sartorius, Adductor Longus, Adductor Brevis, ","Rectus Abdominis, Obliques, ",,,Hips,3,"Rectus Abdominis, Hip Flexors",
